Date,Open,High,Low,Close,Adj Close,Volume
2024-01-05,2267.199951,2278.000000,2240.000000,2261.350098,2261.350098,728331
2024-01-08,2271.050049,2272.050049,2212.000000,2219.600098,2219.600098,608592
2024-01-09,2239.100098,2274.000000,2222.600098,2230.399902,2230.399902,616272
2024-01-10,2239.699951,2325.000000,2236.000000,2299.600098,2299.600098,2671871
2024-01-11,2310.000000,2340.550049,2285.449951,2294.850098,2294.850098,958751
2024-01-12,2308.000000,2314.800049,2283.000000,2292.449951,2292.449951,408644
2024-01-15,2292.449951,2292.449951,2292.449951,2292.449951,2292.449951,0
2024-01-16,2347.399902,2492.000000,2281.100098,2326.000000,2326.000000,4195705
2024-01-17,2329.250000,2420.000000,2281.100098,2389.100098,2389.100098,2306597
2024-01-18,2394.800049,2431.899902,2281.100098,2319.550049,2319.550049,1588725
2024-01-19,2346.899902,2370.500000,2285.949951,2312.000000,2312.000000,885215
2024-01-23,2377.800049,2387.750000,2260.000000,2277.149902,2277.149902,1033149
2024-01-24,2280.000000,2337.000000,2185.050049,2326.600098,2326.600098,980716
2024-01-25,2419.100098,2477.699951,2325.000000,2343.500000,2343.500000,3188906
2024-01-29,2360.649902,2366.000000,2305.600098,2319.199951,2319.199951,637537
2024-01-30,2334.100098,2338.100098,2283.350098,2286.449951,2286.449951,921841
2024-01-31,2299.000000,2324.000000,2281.550049,2290.949951,2290.949951,670890
2024-02-01,2302.449951,2302.449951,2225.000000,2234.550049,2234.550049,990056
2024-02-02,2242.000000,2249.699951,2200.350098,2205.699951,2205.699951,869891
2024-02-05,2217.000000,2217.399902,2086.000000,2097.800049,2097.800049,1201303
2024-02-06,2099.000000,2166.899902,2095.000000,2152.000000,2152.000000,702994
2024-02-07,2163.449951,2177.800049,2136.149902,2155.050049,2155.050049,362829
2024-02-08,2160.050049,2212.000000,2140.050049,2185.149902,2185.149902,813519
2024-02-09,2194.000000,2195.000000,2104.000000,2117.449951,2117.449951,499204
2024-02-12,2128.100098,2238.399902,2022.500000,2182.000000,2182.000000,1330672
2024-02-13,2255.000000,2260.000000,2137.050049,2147.199951,2147.199951,2004563
2024-02-14,2129.050049,2192.000000,2101.050049,2158.550049,2158.550049,795761
2024-02-15,2170.000000,2198.000000,2125.000000,2136.399902,2136.399902,567344
2024-02-16,2140.000000,2165.000000,2081.399902,2087.250000,2087.250000,910301
2024-02-19,2100.100098,2195.750000,2100.100098,2165.350098,2165.350098,889173
2024-02-20,2160.000000,2160.000000,2120.000000,2136.750000,2136.750000,374847
2024-02-21,2138.949951,2146.899902,2065.000000,2078.350098,2078.350098,515841
2024-02-22,2088.699951,2095.600098,2033.099976,2059.300049,2059.300049,633515
2024-02-23,2067.449951,2139.000000,2061.050049,2110.300049,2110.300049,1013676
2024-02-26,2110.000000,2110.000000,2078.000000,2091.600098,2091.600098,437935
2024-02-27,2097.000000,2127.000000,2083.350098,2092.550049,2092.550049,331651
2024-02-28,2145.050049,2230.000000,2094.949951,2113.899902,2113.899902,4516770
2024-02-29,2114.399902,2114.399902,2058.649902,2084.899902,2084.899902,818831
2024-03-01,2100.050049,2121.050049,2086.000000,2099.199951,2099.199951,461820
2024-03-04,2104.399902,2143.800049,2076.000000,2104.649902,2104.649902,704549
2024-03-05,2105.899902,2126.100098,2085.100098,2088.949951,2088.949951,343567
2024-03-06,2084.000000,2091.550049,2038.000000,2057.649902,2057.649902,516369
2024-03-07,2065.000000,2107.500000,2062.050049,2085.649902,2085.649902,324379
2024-03-11,2089.000000,2092.550049,2058.050049,2065.750000,2065.750000,333206
2024-03-12,2070.699951,2072.199951,2000.449951,2018.199951,2018.199951,442442
2024-03-13,2024.400024,2036.750000,1845.000000,1858.949951,1858.949951,1173186
2024-03-14,1857.699951,1939.949951,1795.400024,1893.349976,1893.349976,2515747
2024-03-15,1894.699951,1949.900024,1857.349976,1917.199951,1917.199951,1772733
2024-03-18,1914.000000,1934.500000,1837.000000,1848.849976,1848.849976,960900
2024-03-19,1845.000000,1884.949951,1821.099976,1867.750000,1867.750000,825865
2024-03-20,1875.000000,1895.650024,1832.000000,1839.699951,1839.699951,561524
2024-03-21,1850.949951,1909.000000,1850.300049,1878.400024,1878.400024,613289
2024-03-22,1891.000000,1948.949951,1890.099976,1898.449951,1898.449951,999489
2024-03-26,1899.000000,1909.000000,1869.000000,1881.449951,1881.449951,538806
2024-03-27,1887.900024,1924.000000,1887.099976,1891.750000,1891.750000,646754
2024-03-28,1897.949951,1914.750000,1855.050049,1864.099976,1864.099976,571771
2024-04-01,1880.000000,2039.000000,1880.000000,2000.800049,2000.800049,2228237
